,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 0,1,3,5,35,11,8,38,23,8.0,,,,,,,,,,,,,,,
game: 1,2,27,10,12,22,53,64,26,119.0,35.0,10.0,87.0,16.0,5.0,,,,,,,,,,
game: 2,1,2,5,7,13,17,21,22,42.0,48.0,74.0,8.0,84.0,65.0,5.0,10.0,16.0,9.0,23.0,65.0,,,,
game: 3,2,19,3,5,14,18,37,32,21.0,11.0,27.0,27.0,41.0,65.0,367.0,,,,,,,,,
game: 4,1,8,4,9,13,49,84,128,65.0,326.0,,,,,,,,,,,,,,
game: 5,2,2,6,9,30,34,29,11,141.0,54.0,29.0,299.0,66.0,36.0,27.0,21.0,,,,,,,,
game: 6,5,11,8,6,12,15,24,30,64.0,39.0,,,,,,,,,,,,,,
game: 7,5,25,32,39,15,13,32,151,133.0,46.0,34.0,38.0,71.0,,,,,,,,,,,
game: 8,2,5,3,5,6,12,22,16,19.0,34.0,8.0,,,,,,,,,,,,,
game: 9,5,3,6,10,26,26,53,116,103.0,119.0,35.0,5.0,5.0,16.0,5.0,10.0,,,,,,,,
game: 10,1,4,4,12,11,23,10,23,15.0,37.0,68.0,63.0,35.0,65.0,16.0,35.0,16.0,16.0,,,,,,
game: 11,5,8,5,10,11,49,19,22,29.0,10.0,,,,,,,,,,,,,,
game: 12,2,3,8,11,8,71,7,56,50.0,1605.0,,,,,,,,,,,,,,
game: 13,2,6,35,3,6,12,22,107,12.0,27.0,,,,,,,,,,,,,,
game: 14,2,4,5,7,26,16,60,49,48.0,90.0,68.0,114.0,27.0,206.0,,,,,,,,,,
game: 15,2,11,49,65,54,284,23,121,,,,,,,,,,,,,,,,
game: 16,1,3,6,13,11,43,24,59,61.0,663.0,11.0,11.0,15.0,8.0,,,,,,,,,,
game: 17,5,11,8,38,8,582,17,189,106.0,18.0,18.0,18.0,,,,,,,,,,,,
game: 18,2,4,8,3,23,13,139,266,67.0,69.0,193.0,114.0,41.0,,,,,,,,,,,
game: 19,5,2,7,14,21,7,11,43,32.0,40.0,93.0,10.0,23.0,16.0,5.0,5.0,5.0,,,,,,,
game: 20,2,5,15,11,23,55,11,25,58.0,57.0,326.0,,,,,,,,,,,,,
game: 21,2,8,19,7,7,14,38,94,20.0,56.0,15.0,27.0,10.0,,,,,,,,,,,
game: 22,1,2,8,22,11,30,65,88,21.0,8.0,29.0,38.0,8.0,,,,,,,,,,,
game: 23,16,4,12,17,19,22,36,154,85.0,32.0,11.0,13.0,21.0,65.0,5.0,,,,,,,,,
game: 24,2,2,3,3,6,8,16,173,118.0,29.0,65.0,40.0,,,,,,,,,,,,
game: 25,2,8,30,30,60,13,12,15,43.0,36.0,60.0,16.0,116.0,16.0,16.0,65.0,,,,,,,,
game: 26,2,5,38,17,21,13,30,53,24.0,38.0,,,,,,,,,,,,,,
game: 27,2,3,6,51,114,1364,1819,80,30.0,8.0,10.0,99.0,51.0,26.0,27.0,,,,,,,,,
game: 28,1,3,5,34,5,24,6,9,21.0,,,,,,,,,,,,,,,
game: 29,2,3,9,6,45,207,40,114,108.0,25.0,20.0,14.0,21.0,8.0,8.0,,,,,,,,,
game: 30,1,3,5,49,30,130,31,16,86.0,103.0,,,,,,,,,,,,,,
game: 31,16,8,11,22,25,12,14,20,,,,,,,,,,,,,,,,
game: 32,1,3,11,33,22,11,9,11,48.0,351.0,21.0,326.0,182.0,,,,,,,,,,,
game: 33,2,4,3,7,8,25,95,14,24.0,13.0,21.0,,,,,,,,,,,,,
game: 34,2,5,11,19,151,318,54,77,211.0,5.0,5.0,5.0,,,,,,,,,,,,
game: 35,5,8,11,19,5,18,26,53,65.0,191.0,44.0,10.0,111.0,16.0,5.0,5.0,5.0,,,,,,,
game: 36,1,11,10,9,26,300,83,98,134.0,1117.0,391.0,8.0,10.0,5.0,5.0,21.0,,,,,,,,
game: 37,5,27,4,6,6,12,41,35,30.0,23.0,21.0,16.0,,,,,,,,,,,,
game: 38,1,2,4,11,5,12,41,20,11.0,29.0,,,,,,,,,,,,,,
game: 39,16,11,73,11,30,70,95,164,51.0,73.0,27.0,27.0,10.0,16.0,,,,,,,,,,
game: 40,2,8,4,13,12,17,57,34,8.0,,,,,,,,,,,,,,,
game: 41,2,4,10,13,12,28,13,32,233.0,8.0,11.0,13.0,190.0,21.0,21.0,215.0,189.0,32.0,84.0,,,,,
game: 42,2,8,8,7,8,33,32,114,47.0,80.0,18.0,21.0,10.0,8.0,35.0,29.0,16.0,,,,,,,
game: 43,5,3,4,7,47,50,12,35,,,,,,,,,,,,,,,,
game: 44,1,4,3,30,8,6,30,22,64.0,73.0,86.0,8.0,,,,,,,,,,,,
game: 45,2,25,122,23,11,12,10,26,38.0,8.0,15.0,16.0,,,,,,,,,,,,
game: 46,2,2,3,7,80,19,13,14,38.0,115.0,76.0,27.0,27.0,35.0,23.0,16.0,5.0,16.0,,,,,,
game: 47,2,3,3,38,19,17,77,42,20.0,165.0,119.0,119.0,27.0,16.0,10.0,9.0,5.0,5.0,,,,,,
game: 48,1,3,3,15,44,30,72,65,62.0,128.0,16.0,5.0,5.0,5.0,27.0,,,,,,,,,
game: 49,5,2,3,9,24,26,52,228,365.0,59.0,254.0,,,,,,,,,,,,,
game: 50,2,5,21,20,10,24,95,447,16.0,5.0,5.0,5.0,5.0,,,,,,,,,,,
game: 51,5,8,11,49,72,44,41,80,42.0,107.0,98.0,32.0,193.0,46.0,8.0,16.0,16.0,,,,,,,
game: 52,1,5,11,7,6,14,21,21,26.0,15.0,51.0,27.0,16.0,,,,,,,,,,,
game: 53,5,5,11,17,125,22,11,9,9.0,21.0,65.0,10.0,,,,,,,,,,,,
game: 54,1,3,3,7,12,68,213,2901,65.0,50.0,29.0,16.0,16.0,16.0,,,,,,,,,,
game: 55,5,11,12,20,44,52,15,43,38.0,72.0,21.0,72.0,,,,,,,,,,,,
game: 56,2,2,16,20,17,39,50,29,35.0,10.0,5.0,16.0,65.0,27.0,114.0,16.0,23.0,,,,,,,
game: 57,5,8,4,12,41,59,48,93,17.0,21.0,34.0,92.0,,,,,,,,,,,,
game: 58,1,3,4,8,14,22,48,235,129.0,138.0,294.0,92.0,207.0,171.0,65.0,5.0,16.0,,,,,,,
game: 59,5,3,6,16,9,19,12,21,17.0,33.0,32.0,24.0,,,,,,,,,,,,
game: 60,2,4,4,19,85,119,829,23,5.0,5.0,16.0,16.0,16.0,35.0,16.0,,,,,,,,,
game: 61,2,11,6,7,20,51,31,95,671.0,38.0,115.0,90.0,421.0,108.0,56.0,,,,,,,,,
game: 62,1,3,6,11,17,98,29,32,23.0,5.0,5.0,16.0,16.0,,,,,,,,,,,
game: 63,5,27,41,27,35,2,5,6,6.0,8.0,8.0,,,,,,,,,,,,,
game: 64,1,3,4,15,30,43,11,21,10.0,16.0,16.0,5.0,51.0,15.0,149.0,11.0,13.0,29.0,171.0,5.0,16.0,135.0,,
game: 65,5,4,6,12,19,10,18,11,26.0,61.0,21.0,34.0,18.0,105.0,133.0,34.0,8.0,,,,,,,
game: 66,1,4,10,40,47,27,38,21,10.0,23.0,,,,,,,,,,,,,,
game: 67,2,26,19,38,6,51,16,78,16.0,42.0,16.0,35.0,,,,,,,,,,,,
game: 68,2,3,4,4,39,68,87,66,157.0,41.0,35.0,16.0,16.0,10.0,111.0,,,,,,,,,
game: 69,5,16,4,7,17,11,10,38,166.0,66.0,47.0,,,,,,,,,,,,,
game: 70,2,8,54,28,49,64,69,83,105.0,105.0,,,,,,,,,,,,,,
game: 71,2,23,9,10,9,20,50,168,15.0,60.0,29.0,10.0,29.0,206.0,,,,,,,,,,
game: 72,1,2,7,4,10,37,378,26,32.0,99.0,46.0,8.0,16.0,5.0,,,,,,,,,,
game: 73,2,8,30,41,61,22,11,30,11.0,8.0,,,,,,,,,,,,,,
game: 74,1,4,11,6,13,220,26,39,77.0,15.0,27.0,73.0,47.0,148.0,65.0,32.0,21.0,35.0,65.0,5.0,5.0,10.0,8.0,8.0
game: 75,5,8,8,6,7,10,18,32,29.0,29.0,16.0,,,,,,,,,,,,,
game: 76,1,4,5,21,49,12,38,266,139.0,176.0,209.0,199.0,327.0,,,,,,,,,,,
game: 77,5,16,35,7,8,12,25,103,21.0,16.0,16.0,,,,,,,,,,,,,
game: 78,2,2,5,35,3,14,9,8,21.0,169.0,59.0,71.0,56.0,271.0,10.0,16.0,5.0,,,,,,,
game: 79,5,11,19,11,9,41,29,30,,,,,,,,,,,,,,,,
game: 80,1,4,9,4,7,14,39,41,119.0,421.0,66.0,,,,,,,,,,,,,
game: 81,2,4,9,13,26,65,246,58,348.0,149.0,98.0,180.0,65.0,,,,,,,,,,,
game: 82,5,22,8,9,8,3,5,8,42.0,66.0,63.0,787.0,43.0,53.0,30.0,15.0,10.0,65.0,,,,,,
game: 83,5,4,4,6,166,40,27,494,57.0,56.0,42.0,29.0,16.0,16.0,,,,,,,,,,
game: 84,2,5,11,11,46,16,16,63,49.0,44.0,56.0,21.0,41.0,42.0,149.0,50.0,16.0,16.0,,,,,,
game: 85,5,4,9,12,47,12,38,159,102.0,54.0,13599.0,98.0,141.0,19.0,8.0,8.0,,,,,,,,
game: 86,1,3,7,11,11,11,11,21,16.0,,,,,,,,,,,,,,,
game: 87,2,5,4,6,19,18,23,256,22.0,99.0,209.0,21.0,8.0,,,,,,,,,,,
game: 88,1,4,11,7,23,65,57,369,82.0,192.0,48.0,22.0,116.0,14.0,144.0,15.0,35.0,,,,,,,
game: 89,5,16,5,7,13,34,67,63,62.0,66.0,88.0,126.0,18.0,21.0,10.0,,,,,,,,,
game: 90,1,4,14,12,12,125,66,209,36.0,65.0,52.0,221.0,44.0,17.0,8.0,13.0,,,,,,,,
game: 91,2,3,5,17,65,105,12,29,106.0,42.0,11.0,,,,,,,,,,,,,
game: 92,2,5,19,30,65,19,16,62,294.0,85.0,26.0,19.0,10.0,,,,,,,,,,,
game: 93,2,2,3,9,15,29,35,41,742.0,117.0,391.0,,,,,,,,,,,,,
game: 94,1,4,12,13,13,22,53,175,413.0,279.0,30.0,,,,,,,,,,,,,
game: 95,2,4,30,13,151,30,57,168,22.0,27.0,10.0,5.0,10.0,,,,,,,,,,,
game: 96,2,5,8,12,25,38,148,39,57.0,30.0,15.0,29.0,35.0,16.0,5.0,,,,,,,,,
game: 97,16,8,8,8,5,3,3,22,95.0,44.0,44.0,29.0,41.0,16.0,2.0,5.0,,,,,,,,
game: 98,5,3,4,5,17,8,5,11,23.0,27.0,469.0,54.0,10.0,16.0,5.0,5.0,5.0,,,,,,,
game: 99,2,12,2,5,14,48,45,168,48.0,5.0,10.0,50.0,,,,,,,,,,,,
